"site","size","abundance","richness"
"a",4.67,28,16
"b",6.31,35,18
"c",7.35,74,18
"d",7.7,94,9
"e",3.24,69,17
"f",8.7,27,18
"g",0.78,91,17
"h",3.83,44,19
"i",8.78,95,10
"j",1.75,28,14
"k",1.49,85,18
"l",0.23,64,18
"m",7.76,88,8
"n",6.94,29,13
"o",5.61,74,11
"p",0.85,35,16
"q",1.15,16,19
"r",3.44,93,18
"s",2.54,27,15
"t",8.7,17,19
"u",1.45,62,4
"v",4.87,30,10
"w",0.38,82,13
"x",1.98,28,4
"y",0.57,23,10
"z",8.83,43,12
"a",5.08,52,10
"b",5.29,39,4
"c",3.92,24,12
"d",0.73,60,3
"e",6.69,94,3
"f",9.54,51,8
"g",3.66,11,17
"h",4.82,94,13
"i",4.64,58,9
"j",0.76,47,15
"k",6.7,88,18
"l",8.18,51,5
"m",1.33,54,15
"n",8.43,45,16
"o",7.24,47,15
"p",0.87,58,16
"q",2.34,91,12
"r",2.68,44,12
"s",5.54,12,7
"t",2.09,81,19
"u",9.42,11,7
"v",5.54,83,8
"w",6.7,45,18
"x",7.56,83,5
"y",9.57,75,9
"z",3.07,80,13
"a",9.27,72,17
"b",2.26,84,4
"c",6.46,24,16
"d",9.25,32,2
"e",3.24,66,15
"f",6.33,39,16
"g",9.95,45,11
"h",1.03,96,4
"i",3.42,24,10
"j",8.74,45,14
"k",2.38,22,12
"l",2.44,58,18
"m",2.02,42,18
"n",1.97,11,12
"o",5.74,53,3
"p",2.32,38,20
"q",1.98,40,8
"r",3.06,83,5
"s",1.21,28,12
"t",8.79,91,13
"u",7.9,48,20
"v",2.15,72,11
"w",1.26,91,16
"x",1.24,18,13
"y",9.91,88,8
"z",6.6,45,16
"a",8.64,41,14
"b",5.27,92,14
"c",5,87,10
"d",3.94,48,13
"e",4.03,78,13
"f",3.51,86,9
"g",4.54,22,11
"h",7.16,54,3
"i",3.98,39,7
"j",4.4,48,4
"k",6.07,11,9
"l",2.44,46,18
"m",0.32,30,20
"n",6.52,59,11
"o",6.33,98,7
"p",9.15,53,13
"q",2.46,82,13
"r",2.52,96,15
"s",1.76,91,6
"t",3.29,91,6
"u",5.45,25,10
"v",3.65,37,3
"w",8.45,15,17
"x",6.11,52,19
"y",4.03,34,7
"z",4.99,64,13
"a",7.1,78,17
"b",7.45,28,18
"c",7.09,94,10
"d",6.34,35,14
"e",9.71,57,11
"f",5.02,88,10
"g",8.96,55,18
"h",4.54,67,12
"i",0.96,87,9
"j",6.58,69,17
"k",8.5,82,12
"l",4.03,54,7
"m",1.18,88,5
"n",7.87,88,6
"o",6.26,99,16
"p",3.68,56,13
"q",6.87,98,12
"r",8.61,91,14
"s",5.94,72,12
"t",4.12,84,12
"u",6.47,81,19
"v",7.4,54,5
"w",4.01,44,14
"x",9.8,11,10
"y",1.33,54,13
"z",8.24,88,9
"a",6.59,16,6
"b",4.55,77,10
"c",9.24,18,5
"d",5.37,90,19
"e",9.28,94,5
"f",6.01,24,8
"g",7.33,93,8
"h",3.27,99,11
"i",5.84,57,6
"j",7.01,22,16
"k",7.45,84,9
"l",8.14,85,7
